RT	Mass	Rank	DistFromMS2	noise	SWpval	derivChanges	zeroCounts	maxInt	rtWindow	kurtosis	skew	outsideInt	DistToInflPtL2R	DistToInflPtR2L
2134.77	2150.86	0	4.360528736	0	0.000189245	6	4	21497.7832	23.07	3.410831283	1.157984955	0	0.214285714	0.5
2150.13	2156.54	0	3.748121506	0	0.000721336	4	3	24417.58984	17.43	2.497059574	0.832532357	0	0.3	0.3
2186.24	2190.39	0	4.45527369	1	3.89E-05	4	3	16298.43848	12.32	4.286994364	1.422185525	1640.189331	0.375	0.375
2154.24	2159.72	0	1.695701149	3	1.42E-05	4	3	25588.99219	14.38	5.776811705	1.743729164	5924.073242	0.375	0.375
2154.19	2159.35	0	19.98286357	0	6.29E-06	4	3	7684.726074	15.44	3.292202108	1.288448432	0	0.888888889	0.888888889
2214.95	2220.58	0	23.13772513	0	4.14E-06	2	2	6778.666016	11.08	5.166666667	1.619847741	0	1	1
2259.19	2265.38	0	5.434724125	0	3.03E-05	4	3	9543.104492	16.91	2.928268057	1.147897843	0	0.375	0.375
2276.94	2283.23	0	23.59250339	0	4.14E-06	2	2	6196.970215	12.53	5.166666667	1.619847741	0	1	1
2270.4	2276.43	0	8.860907743	0	4.14E-06	2	2	4037.9646	12.03	5.166666667	1.619847741	0	1	1
2234.79	2240.35	0	18.96527587	0	4.14E-06	2	2	14237.53809	11.76	5.166666667	1.619847741	0	1	1
2248.93	2254.81	0	2.549671251	0	4.14E-06	2	2	4092.06543	11.9	5.166666667	1.619847741	0	1	1
2242.21	2247.09	0	25.94332134	0	4.14E-06	2	2	11691.03906	10.76	5.166666667	1.619847741	0	1	1
2290.5	2296.28	0	5.777121495	0	4.14E-06	2	2	8823.245117	11.56	5.166666667	1.619847741	0	1	1
2292.69	2301.36	0	11.50145103	0	4.03E-05	6	4	10902.90332	19.02	4.594680677	1.461861177	0	0.3	0.3
2274.96	2283.23	0	20.84777554	0	0.001258369	2	2	15199.47363	16.47	2.7716209	0.940117927	0	0.375	0.375
2312.74	2318.09	0	4.64106701	0	4.14E-06	2	2	5499.594238	11.08	5.166666667	1.619847741	0	1	1
2334.58	2341.36	0	8.546005044	0	2.87E-05	4	3	8982.705078	17.87	2.898062654	1.141953351	0	0.375	0.375
2353.12	2368.93	0	3.622419735	0	1.82E-05	4	3	9857.456055	22.55	5.650807562	1.704085066	0	0.8	0.8
2349.23	2364.2	0	8.877453608	0	5.26E-05	4	3	11375.48242	21.58	2.864828009	1.073463473	0	0.8	0.8
2344.19	2353.29	0	19.76494671	0	7.13E-05	2	2	6013.195801	15.65	2.336235253	0.945725143	0	0.857142857	0.857142857
2355.26	2362.18	0	1.515992433	0	4.14E-06	2	2	5499.415039	13.83	5.166666667	1.619847741	0	1	1
2381.89	2391.14	0	7.053095306	0	9.15E-05	2	2	6902.62207	15.82	2.364369849	0.951711762	0	0.857142857	0.857142857
2367.03	2373.71	0	5.569713795	0	4.20E-05	4	3	5616.44873	18.45	3.397252956	1.240987684	0	0.375	0.375
2398.31	2405.13	0	6.762845313	1	4.14E-06	3	2	5254.960449	11.96	5.166666667	1.619847741	736.1765137	1	1
2379.82	2393.41	0	8.27972989	0	8.35E-06	4	3	8031.34375	20.42	3.466066523	1.320377771	0	0.888888889	0.888888889
2401.66	2408.53	0	27.47656086	0	4.14E-06	2	2	5286.206543	13.62	5.166666667	1.619847741	0	1	1
2405.13	2411.31	0	1.84591687	0	0.000108732	4	3	12526.88477	18.14	4.972626504	1.517339319	0	0.333333333	0.333333333
2391.84	2398.75	0	0.620096723	0	4.14E-06	2	2	6717.637207	13.02	5.166666667	1.619847741	0	1	1
2399.4	2415.61	0	8.992409144	2	1.73E-05	6	4	8319.43457	22.96	3.269964998	1.247405452	1425.828174	0.3	0.3
2418.94	2437.95	0	4.253763189	3	0.00062749	4	3	8416.162109	25.45	2.603981224	0.95699979	1682.08283	0.272727273	0.454545455
2399.09	2404.32	0	21.31578978	0	4.14E-06	2	2	6855.141602	11.9	5.166666667	1.619847741	0	1	1
2418.15	2425.21	0	18.38379249	0	4.14E-06	2	2	7223.473145	14.41	5.166666667	1.619847741	0	1	1
2402.13	2420.39	0	2.634789859	0	0.000103856	6	4	10435.4209	24.75	3.921627053	1.349167766	0	0.272727273	0.454545455
